


;#;Date; Opening Balance ;Principal ; Interest Rate ; Interest ; Instalment ; Closing Balance 
;i;D;PVi-1;Pi;Ri;INTi;PMTi;PVi
;1;1/1;10000;1800;0.05;500;2300;8200
;2;1/2;8200;1890;0.05;410;2300;6310
;3;1/3;6310;1984.5;0.05;315.5;2300;4325.5
;4;1/4;4325.5;2083.72;0.05;216.275;2300;2241.78
;5;1/5;2241.78;2187.91;0.05;112.089;2300;53.8637
;;;;9946.14



;#;Date Opening Balance ;Principal ; Interest Rate ; Interest ; Instalment ; Closing Balance 
;i;D;PVi-1;Pi;Ri;INTi;PMTi;PVi
;1;1/1;9957.8;1802.11;0.05;497.89;2300;8155.69
;2;1/2;8155.69;1892.22;0.05;407.784;2300;6263.47
;3;1/3;6263.47;1986.83;0.05;313.174;2300;4276.64
;4;1/4;4276.64;2086.17;0.05;213.832;2300;2190.48
;5;1/5;2190.48;2190.48;0.05;109.524;2300;1.18234e-11
;;;;9957.8



;#;Date; Opening Balance ;Principal ; Interest Rate ; Interest ; Instalment ; Closing Balance 
;i;D;PVi-1;Pi;Ri;INTi;PMTi;PVi
;1;1/1;10000;2000;0.03;300;2300;8000
;2;1/2;8000;2060;0.03;240;2300;5940
;3;1/3;5940;2121.8;0.03;178.2;2300;3818.2
;4;1/4;3818.2;2185.45;0.03;114.546;2300;1632.75
;5;1/5;1632.75;2251.02;0.03;48.9824;2300;-618.272
;;;;10618.3



;#;Date; Opening Balance ;Principal ;Floating Rate; Interest Rate ; Interest ; Instalment ; Closing Balance 
;i;D;PVi-1;Pi;Ri;Fi;INTi;PMTi;PVi


;#;Date; Opening Balance ;Principal ;Floating Rate; Interest Rate ; Interest ; Instalment ; Closing Balance 
;i;D;PVi-1;Pi;Ri;Fi;INTi;PMTi;PVi


;#;Date; Opening Balance ;Principal ;Floating Rate; Interest Rate ; Interest ; Instalment ; Closing Balance 
;i;D;PVi-1;Pi;Ri;Fi;INTi;PMTi;PVi
;1;1/1;10000;2000;0.000894833;0.0308948;308.948;2308.95;8000
;2;1/2;8000;2000;0.000894833;0.0308948;247.159;2247.16;6000
;3;1/3;6000;2000;0.000894833;0.0308948;185.369;2185.37;4000
;4;1/4;4000;2000;0.000894833;0.0308948;123.579;2123.58;2000
;5;1/5;2000;2000;0.000894833;0.0308948;61.7897;2061.79;0
;;;;10000



;#;Date; Opening Balance ;Principal ;Floating Rate; Interest Rate ; Interest ; Instalment ; Closing Balance 
;i;D;PVi-1;Pi;Ri;Fi;INTi;PMTi;PVi
;1;1/1;10000;2000;0.0710166;0.101017;1010.17;3010.17;8000
;2;1/2;8000;2000;0.0710166;0.101017;808.133;2808.13;6000
;3;1/3;6000;2000;0.0710166;0.101017;606.1;2606.1;4000
;4;1/4;4000;2000;0.0710166;0.101017;404.066;2404.07;2000
;5;1/5;2000;2000;0.0710166;0.101017;202.033;2202.03;0
;;;;10000



;#;Date; Opening Balance ;Principal ;Floating Rate; Interest Rate ; Interest ; Instalment ; Closing Balance 
;i;D;PVi-1;Pi;Ri;Fi;INTi;PMTi;PVi
;1;1/1;10000;2000;0.0559947;0.0859947;859.947;2859.95;8000
;2;1/2;8000;2000;0.0559947;0.0859947;687.958;2687.96;6000
;3;1/3;6000;2000;0.0559947;0.0859947;515.968;2515.97;4000
;4;1/4;4000;2000;0.0559947;0.0859947;343.979;2343.98;2000
;5;1/5;2000;2000;0.0559947;0.0859947;171.989;2171.99;0
;;;;10000



;#;Date; Opening Balance ;Principal ;Floating Rate; Interest Rate ; Interest ; Instalment ; Closing Balance 
;i;D;PVi-1;Pi;Ri;Fi;INTi;PMTi;PVi
;1;1/1;10000;2000;0.0745109;0.104511;1045.11;3045.11;8000
;2;1/2;8000;2000;0.0220648;0.0520648;416.519;2416.52;6000
;3;1/3;6000;2000;-0.00122725;0.0287727;172.636;2172.64;4000
;4;1/4;4000;2000;0.0445063;0.0745063;298.025;2298.03;2000
;5;1/5;2000;2000;0.0739594;0.103959;207.919;2207.92;0
;;;;10000

